cnf,solution,mallobecs,paracooba,paracoobamarch,slime,toposat,ctsat
ssAES_4-4-8_round_7-10_faultAt_8_fault_injections_2_seed_1579630418.cnf.bz2,SATISFIABLE,39.397,FAILED,TIMEOUT,TIMEOUT,30.647,FAILED
vlsat2_16676_1598591.dimacs.cnf.bz2,SATISFIABLE,3.561,71.542,TIMEOUT,83.92,18.819,28.334
hid-uns-enc-6-1-0-0-0-0-27601.cnf.bz2,UNSATISFIABLE,14.14,584.819,18.04,103.382,27.479,FAILED
gto_p60c241.cnf.bz2,UNSATISFIABLE,8.73,140.124,17.23,90.097,21.883,FAILED
ps_300_312_20.cnf.bz2,SATISFIABLE,6.402,FAILED,UNKNOWN,43.493,16.488,54.626
preimage_80r_491m_160h_seed_71.cnf.bz2,SATISFIABLE,84.093,269.663,TIMEOUT,34.918,19.331,TIMEOUT
simon03:sat02bis:k2fix_gr_2pinvar_w8.used-as.sat04-349.cnf.bz2,UNSATISFIABLE,TIMEOUT,FAILED,TIMEOUT,7.847,8.895,TIMEOUT
53-131587.cnf.bz2,SATISFIABLE,32.226,FAILED,TIMEOUT,603.967,14.354,211.592
TT7F-33-24C.cnf.bz2,SATISFIABLE,TIMEOUT,TIMEOUT,UNKNOWN,TIMEOUT,TIMEOUT,783.105
crafted_n11_d6_c4_num19.cnf.bz2,UNSATISFIABLE,45.01,FAILED,UNKNOWN,TIMEOUT,127.172,FAILED
sted2_0x0_n219-342.cnf.bz2,SATISFIABLE,39.917,TIMEOUT,TIMEOUT,217.687,11.606,49.292
Kakuro-easy-148-ext.xml.hg_8.cnf.bz2,SATISFIABLE,178.199,FAILED,UNKNOWN,229.442,85.033,219.188
w15.cnf.bz2,UNSATISFIABLE,17.617,363.108,180.29,TIMEOUT,69.135,FAILED
baseballcover12with24_and2positions.cnf.bz2,SATISFIABLE,103.667,FAILED,UNKNOWN,102.559,718.729,68.454
6g_5color_164_100_01.cnf.bz2,SATISFIABLE,249.968,FAILED,TIMEOUT,TIMEOUT,144.895,TIMEOUT
dislog_a09_x11_n20.cnf.bz2,SATISFIABLE,19.931,167.666,0.51,12.814,29.407,TIMEOUT
combined-crypto1-wff-seed-110-wffvars-500-cryptocplx-31-overlap-2.cnf.bz2,SATISFIABLE,TIMEOUT,FAILED,9.79,TIMEOUT,TIMEOUT,TIMEOUT
3bitadd_32.cnf.gz.CP3-cnfmiter.cnf.bz2,UNSATISFIABLE,14.433,FAILED,FAILED,108.736,18.736,TIMEOUT
ncc_none_2_18_9_3_0_0_435991723.cnf.bz2,UNSATISFIABLE,114.031,FAILED,UNKNOWN,TIMEOUT,448.892,FAILED
size_5_5_5_i053_r12.cnf.bz2,SATISFIABLE,144.942,55.66,TIMEOUT,71.843,9.057,771.977
mp1-rubikcube312.cnf.bz2,UNSATISFIABLE,61.911,TIMEOUT,TIMEOUT,TIMEOUT,175.885,FAILED
ncc_none_12477_5_3_3_1_0_435991723.cnf.bz2,SATISFIABLE,162.641,FAILED,UNKNOWN,728.038,86.953,155.726
IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k90.debugged.cnf.bz2,UNKNOWN,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,FAILED
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf.bz2,SATISFIABLE,780.541,FAILED,22.89,TIMEOUT,TIMEOUT,801.915
vlsat2_39552_5878762.dimacs.cnf.bz2,UNKNOWN,TIMEOUT,TIMEOUT,UNKNOWN,TIMEOUT,TIMEOUT,TIMEOUT
course0.2_2018_3-sc2018.cnf.bz2,SATISFIABLE,211.735,944.222,UNKNOWN,518.533,395.089,171.783
baseballcover15with25.cnf.bz2,UNSATISFIABLE,57.18,260.763,UNKNOWN,134.734,118.982,FAILED
