d0c14f10c8b46bd94bd849c661c0a3e5 sat 68.641 443.689 timeout 80.131 15.395 106.386
81c36c1f55a6ee8e180f53f140ce05a3 sat 56.999 233.19 timeout timeout 113.011 timeout
b6455805d492bec6e8b3c33f0641e284 unknown timeout failed timeout timeout timeout failed
15300be1a87777f0110722557a86bf7a sat 1.979 48.402 timeout 78.11 22.079 136.09
12d79233413fe38d99a604487d2c3515 sat 2.151 910.242 timeout 166.491 6.144 133.043
5690b9b0380aa9508699e56cae5918b5 sat 2.663 timeout 218.69 356.172 109.492 281.233
2a6bfb04f247a0790162269a5c8ec071 sat 2.049 113.976 timeout 93.48 15.539 29.346
f59dd3016fb4352fe812aaf6b4dc020b sat 2.543 timeout timeout 66.808 19.645 62.713
24ea04bb401629158b0972463c61eed4 sat 9.331 390.288 timeout 295.512 33.802 39.255
c2cd624b23b64a57dce567bd50b16965 sat 3.024 failed timeout 38.353 51.246 failed
dba368a504f627a9fb95cf0b65b512ea sat 2.13 failed 278 40.801 9.077 472.449
d25b135838aaa1f8e4fdb8d3a7bd9006 sat 2.043 failed timeout 230.037 20.749 419.822
4afd946cbaa6f41aa61dda47347dc973 sat 2.274 timeout timeout 36.349 8.243 failed
2d0c041c0fe72dc32527bfbf34f63e61 sat 2.014 564.63 248.35 78.349 9.921 failed
c4640fb558ccbad86694363a933084a5 sat 2.296 failed 222.69 21.276 8.923 failed
8117a2ac08e1acf52f660663efe2a5ca sat 2.061 979.249 213.82 30.401 failed 18.451
3e29b1449c9b29120ffac84634f6e5f5 unsat 564.176 timeout failed timeout timeout timeout
23ddc17bdbd97b96fcc0393f51bcfe13 unsat 804.496 failed timeout timeout timeout failed
3d38ffe08887da6cbe9b17ce50c4b34c unsat 14.433 failed failed 108.736 18.736 timeout
0d7f17f04ed073a8ea39e72783186cdb sat 11.233 416.91 timeout 195.414 12.192 timeout
b71310d81f17312ecd887797456b0fb7 sat 29.735 644.324 timeout 176.058 30.086 194.604
c7c22d99715da67f568629dda7d898eb sat 34.722 failed timeout 595.831 22.205 155.97
03fb9af7b390fe9e0739150ca3410cf0 sat 118.573 failed timeout timeout 82.107 timeout
8b463d3ac858ec91fb0056c0c17a0c75 unknown timeout failed timeout timeout timeout timeout
63acdb1e4c4437b22b7ee3b405c1d096 sat 11.601 374.945 timeout 51.826 23.814 42.178
