d0c14f10c8b46bd94bd849c661c0a3e5 sat 398.539 564.724 17.269 76.567 264.174 203.523 342.207 243.627 243.296 304.412 1233.982 46.762 678.039 59.505
81c36c1f55a6ee8e180f53f140ce05a3 sat 3332.095 timeout 376.082 631.632 3983.324 2874.563 1357.624 1577.245 1607.893 294.27 3831.712 2849.5 3052.77 2032.908
b6455805d492bec6e8b3c33f0641e284 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
15300be1a87777f0110722557a86bf7a sat 854.319 572.383 94.657 504.083 2981.225 1568.102 531.641 timeout timeout 1137.834 1080.543 timeout timeout 96.114
12d79233413fe38d99a604487d2c3515 sat 1082.564 2319.6 201.386 1712.721 timeout 478.969 689.91 timeout timeout 3024.09 1242.049 2678.217 timeout 2097.676
5690b9b0380aa9508699e56cae5918b5 sat 311.278 timeout 23.16 1265.632 timeout timeout 772.891 timeout timeout timeout 1170.3 timeout timeout 459.209
2a6bfb04f247a0790162269a5c8ec071 sat 95.158 97.162 3033.451 timeout 41.946 2223.332 83.051 timeout timeout 1438.889 3547.513 279.026 timeout 43.175
f59dd3016fb4352fe812aaf6b4dc020b sat 655.291 2277.579 49.15 160.101 1700.872 69.599 timeout timeout timeout timeout 1904.353 4808.009 timeout 2196.586
24ea04bb401629158b0972463c61eed4 sat 3019.714 1297.408 2159.541 1010.167 timeout timeout timeout timeout timeout 415.712 257.153 timeout timeout 669.354
c2cd624b23b64a57dce567bd50b16965 sat 79.134 83.16 3349.099 175.369 timeout timeout 606.446 timeout timeout 22.437 606.508 4106.213 timeout 366.171
dba368a504f627a9fb95cf0b65b512ea sat 144.204 639.294 359.228 204.366 40.844 2794.303 2869.355 2389.077 2397.894 192.753 29.295 504.213 timeout 59.098
d25b135838aaa1f8e4fdb8d3a7bd9006 sat 600.293 158.211 353.889 4008.711 timeout 497.399 4.086 timeout timeout timeout 804.238 2.974 timeout 389.195
4afd946cbaa6f41aa61dda47347dc973 sat 936.507 415.263 263.871 1306.655 446.065 2218.249 256.295 timeout timeout 4049.858 143.749 timeout timeout 1456.732
2d0c041c0fe72dc32527bfbf34f63e61 sat 202.226 286.278 128.281 1089.164 467.827 31.745 2106.449 1837.266 1783.979 902.429 1414.306 557.574 timeout 1926.578
c4640fb558ccbad86694363a933084a5 sat 757.3 205.217 683.096 753.736 timeout 876.568 429.455 timeout timeout 4658.048 432.923 521.801 timeout 461.202
8117a2ac08e1acf52f660663efe2a5ca sat 489.25 139.234 765.315 1241.146 281.633 4598.065 631.952 2713.248 2716.433 timeout 833.864 2502.691 timeout 172.248
3e29b1449c9b29120ffac84634f6e5f5 unsat timeout timeout 1269.516 2572.78 timeout timeout 1754.29 timeout timeout timeout timeout 2030.301 timeout timeout
23ddc17bdbd97b96fcc0393f51bcfe13 unsat timeout timeout 1296.983 2345.805 timeout timeout 2580.067 timeout timeout timeout timeout 2277.279 timeout timeout
3d38ffe08887da6cbe9b17ce50c4b34c unsat 151.534 191.871 80.914 111.855 20.576 113.449 118.793 77.127 77.552 69.523 229.854 92.696 21.24 2229.933
0d7f17f04ed073a8ea39e72783186cdb sat 82.392 79.197 21.018 30.519 229.227 852.525 404.699 328.846 327.833 173.517 1889.361 77.624 626.917 25.456
b71310d81f17312ecd887797456b0fb7 sat 91.182 412.696 132.822 108.831 163.72 1328.113 591.05 557.221 578.772 2861.267 timeout 538.74 timeout 48.59
c7c22d99715da67f568629dda7d898eb sat 169.376 321.405 77.117 105.568 293.439 1018.208 491.049 3491.866 3660.799 3240.477 4703.236 465.063 timeout failed
03fb9af7b390fe9e0739150ca3410cf0 sat timeout timeout 2998.757 1308.204 839.873 298.306 330.105 3204.38 3310.355 254.113 373.165 337.324 timeout 778.581
8b463d3ac858ec91fb0056c0c17a0c75 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
63acdb1e4c4437b22b7ee3b405c1d096 sat 212.412 212.114 27.998 99.027 6.113 29.72 34.777 383.083 396.299 27.226 143.484 19.685 1827.823 535.476
70628bc527228ff61fc0ebfc3a6ff20f unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
6d094ef8ff8403c1338136bdc474b1c9 sat timeout timeout 1956.998 3945.534 1048.775 519.928 466.997 2100.022 2132.214 1248.125 timeout 463.018 timeout timeout
b2a456f73623145ce5a839938aae5d8c sat timeout timeout timeout timeout 896.423 75.621 128.848 timeout timeout 1539.636 2091.591 129.613 4982.899 timeout
31746b8d1bf7628c843592a85a8d95ba sat 414.563 1422.715 1111.706 3924.239 timeout 2936.242 366.178 timeout timeout 462.709 2435.228 1035.88 timeout 1663.591
ea88c8ccc24b28ff26c4c82bc956ab4b unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
34323d942ba720695022bb1251190a01 sat 110.32 77.433 37.036 54.804 334.96 timeout 706.468 555.424 547.74 462.027 timeout 85.94 927.653 68.556
b0384906155607b261b2fb070399ee2e sat 77.573 69.634 34.041 27.687 235.194 timeout 1568.511 600.241 595.353 453.052 timeout 415.688 1021.183 61.591
b4457e1a0929d236a86db88d22e5a31c sat 79.561 95.542 39.038 67.165 357.114 2337.106 timeout 468.169 461.049 137.961 2602.52 532.924 1450.746 216.601
0241f35c5752768d2b0580533d143a14 sat 102.955 97.607 49.221 39.393 143.205 timeout timeout 700.935 691.393 337.573 timeout timeout 3857.504 89.6
8d04ddb02298c335394dc78b177bb0e4 sat 153.94 111.953 65.898 34.919 763.09 timeout timeout 1306.869 1271.48 414.873 timeout timeout 2168.183 132.696
a2ca167a8fdbf165f40b5d6dee94b040 sat 204.336 165.474 78.038 79.688 1016.548 981.874 338.859 2005.397 2012.218 424.634 4315.964 442.266 1055.68 123.684
e2d2b011b0805782df6adba648db92e8 sat 160.12 125.13 58.726 52.651 218.366 403.274 300.452 1003.093 1032.391 303.376 timeout 256.312 751.549 38.56
0ff0fc8ef80d32742d38231869d5d244 sat 164.619 154.699 62.101 53.869 954.101 566.878 240.295 1167.744 1175.065 292.74 timeout 182.318 858.944 57.635
eea33de69db92b57462278f766c19787 sat 890.572 1941.881 431.865 119.644 timeout timeout 3855.786 timeout timeout 672.233 timeout 3138.645 timeout 577.702
aff1b7e42aafff200fb43c5654004d72 sat timeout timeout timeout timeout 1176.849 4488.607 1080.548 1132.153 1205.219 697.9 167.829 1079.906 2629.853 1295.281
43617e47d7f29ff77cc9917919cff6f5 sat timeout timeout timeout timeout timeout 2868.657 727.707 timeout timeout 1952.268 1247.999 746.346 timeout timeout
3f9985018dd0c9655cdb7063258d0279 sat 3631.441 timeout 3951.557 timeout timeout timeout 1685.695 timeout timeout timeout timeout timeout timeout timeout
29be431e9dee1550957c8483be4532e4 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
7b430dc4761000c3404b608fd5b1123e unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
cdd131110acc861a5a01fae6c4936c91 sat timeout timeout timeout timeout 24.339 1584.838 timeout timeout timeout timeout timeout 1013.649 timeout timeout
b55b472a43a2daa68378ac8cbc4c2fb4 unsat 156.953 161.98 29.594 39.128 55.079 10.425 48.45 65.156 65.06 39.384 464.622 30.476 115.381 184.706
fc794887d3aede5fdd422a501f730032 unsat 1456.654 1431.703 119.258 189.589 687.019 183.545 287.132 574.423 556.679 32.961 80.029 188.254 462.808 4307.555
024af9416f8c1dad1b4f974757e38d51 sat timeout timeout 799.481 timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
1a3400dc32a3859afb20566a4ded9606 sat 1030.596 1145.724 105.045 189.16 216.74 85.122 131.3 211.012 204.288 80.882 364.535 96.915 312.442 91.611
ef83601257510b39572641f2ba485470 unsat 2711.472 2912.308 252.708 failed 1192.975 432.994 720.7 1219.947 1210.974 454.487 1353.486 409.981 1118.025 200.567
deb76f54ab18eb8586d8219bcd61f0f9 unsat timeout timeout 524.274 996.595 4332.392 2456.886 1775.279 3973.445 3922.93 2391.013 2717.124 1138.848 3708.708 563.695
98c53d2e6e9cbf4a78a258adc529770a unsat 774.428 785.574 110.502 176.1 480.905 162.328 329.968 628.938 634.165 231.17 353.053 194.349 297.966 49.663
