cnf,solution,painlessmaplevone,painlessmaplevtwo,pmcompspsthirty,pmcompspsixty,abcdparascavel,syrupscavel,manyglucosesixty,mergesat,mergesatnothp,plingeling,treengeling,manyglucosethirty,abcdsatptwenty,maplepainlessdc
ps_300_312_20.cnf.bz2,SATISFIABLE,861.499,809,160.844,410.517,18.185,153.592,98.272,551.855,532.587,13.272,113.823,353.771,TIMEOUT,2854.95
170105432.cnf.bz2,SATISFIABLE,79.134,83.16,3349.099,175.369,TIMEOUT,TIMEOUT,606.446,TIMEOUT,TIMEOUT,22.437,606.508,4106.213,TIMEOUT,366.171
combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.cnf.bz2,SATISFIABLE,181.694,4024.673,407.452,782.619,109.9,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,826.025,2298.284,TIMEOUT,TIMEOUT,703.324
abw-V-nos6.mtx-w220.cnf.bz2,SATISFIABLE,TIMEOUT,TIMEOUT,1292.614,3415.698,103.371,1256.283,131.303,1554.955,1467.247,TIMEOUT,TIMEOUT,1249.286,4609.454,3001.542
atco_enc1_opt2_10_16.cnf.bz2,SATISFIABLE,307.173,142.16,118.555,104.039,1497.168,1906.563,1210.461,1043.364,1037.973,197.512,1152.498,1298.459,1794.325,77.713
vlsat2_15960_1464039.dimacs.cnf.bz2,UNKNOWN,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
w19-5.1.cnf.bz2,UNSATISFIABLE,399.017,430.627,62.836,91.262,109.698,350.048,161.104,559.499,555.598,280.082,96.884,126.96,137.053,125.47
53-131174.cnf.bz2,SATISFIABLE,77.573,69.634,34.041,27.687,235.194,TIMEOUT,1568.511,600.241,595.353,453.052,TIMEOUT,415.688,1021.183,61.591
lang23.cnf.gz.CP3-cnfmiter.cnf.bz2,UNSATISFIABLE,TIMEOUT,TIMEOUT,3098.968,TIMEOUT,238.246,TIMEOUT,TIMEOUT,369.858,375.282,957.57,1407.885,TIMEOUT,114.633,TIMEOUT
TT7F-33-26.cnf.bz2,SATISFIABLE,2276.788,2333.15,TIMEOUT,TIMEOUT,1052.536,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
g2-T83.2.1.cnf.bz2,UNSATISFIABLE,TIMEOUT,TIMEOUT,878.325,2748.7,446.056,1141.827,2520.594,349.044,364.299,2185.387,2965.335,1539.832,795.754,419.354
bv-term-small-rw_848.smt2.cnf.bz2,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,285.453,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
QG7a-gensys-ukn009.sat05-3849.reshuffled-07.cnf.bz2,UNSATISFIABLE,245.128,197.114,67.304,100.145,321.691,244.774,164.436,924.266,920.4,208.814,875.197,114.308,186.787,65.318
newpol7-6.cnf.bz2,UNSATISFIABLE,438.759,491.706,327.778,155.651,199.681,43.008,188.572,202.2,201.082,158.016,1214.183,112.378,307.475,TIMEOUT
VanDerWaerden_pd_2-3-26_635.cnf.bz2,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,3457.766,TIMEOUT,TIMEOUT,TIMEOUT
