Kissat-sc2020-sat__default Kissat-sat
ExMapleLCMDistChronoBT__PSIDS_DL PSIDS\_DL
GlucoseEsbpSel__default GlucoseEsbpSel
CaDiCaL-sc2020__default CaDiCaL-sc2020
exp_V_MLD_CBT_DL__default exp\_V\_MLD\_CBT\_DL
MapleCOMSPS_LRB_VSIDS_2__default_drup MapleCOMSPS\_drup
cadical-alluip__default CaDiCaL-alluip
cryptominisat-ccnr-lsids__default CMS-ccnr-lsids
ExMapleLCMDistChronoBT__PADC_DL PADC\_DL
Maple_CM+dist__default MapleCM+dist
MapleLCMDistChronoBT-DL-Scavel01__default Scavel01
glucose3.0__proofs Glucose3.0\_proofs
MapleLCMDistChronoBT-DL-v3__default MapleCBT-DL-v3
SLIME__default-no-drup SLIME\_no-drup
abcdsat_n20__default abcdsat\_n20
Relaxed_LCMDCBDL_newTech__default Relaxed\_newTech
optsat_m20__default optsat\_m20
MLCMDChronoBT-DL-Scavel__default Scavel
cadical-trail__default CaDiCaL-trail
DurianSat__default DurianSat
ParaFROST_CBT__default ParaFROST\_CBT
Maple_simp__default Maple\_Simp
MapleCOMSPS_LRB_VSIDS_2__LRB_VSIDS_2_init MapleCOMSPS\_init
Riss__NOUNSAT_proof-fixed Riss\_NOUNSAT
MapleLCMDistChronoBT-f2trc-s__default f2trc-s
Undominated-LC-MapleLCMDiscChronoBT-DL__default Undominated
cadical-alluip-trail__default CaDiCaL-alluip-trail
Riss__default_proof Riss
Top24-Undominated-LC-MapleLCMDiscChronoBT-DL__default Undominated24
exp_V_LGB_MLD_CBT_DL__default exp\_V\_LGB\_MLD\_CBT\_DL
Top36-Undominated-LC-MapleLCMDiscChronoBT-DL__default Undominated36
Kissat-sc2020-default__default Kissat
ExMapleLCMDistChronoBT__PADC_DL_OVAU_Exp PADC\_DL\_OVAU\_Exp
Maple_CM+dist+simp2--__default MapleCM+dist+simp2
Maple-LCM-Dist-alluip-trail__default Maple-alluip-trail
Relaxed_LCMDCBDL__default Relaxed
Top16-Undominated-LC-MapleLCMDiscChronoBT-DL__default Undominated16
Kissat-sc2020-unsat__default Kissat-unsat
upGlucose-3.0_PADC__default upGlucose3.0\_PADC
cryptominisat-walksat__default CMS-walksat
glucose-3.0-inprocess__default Glucose3.0\_inprocess
MapleLCMDistChronoBT-f2trc__default f2trc
Maple_CMused+dist__default MapleCMused+dist
ExMapleLCMDistChronoBT__PADC_DL_OVAU_Lin PADC\_DL\_OVAU\_Lin
MapleLCMDistChronoBT-DL-f2trc__default f2trc-DL
cryptominisat-ccnr__default CMS-ccnr
exp_L_MLD_CBT_DL__default exp\_L\_MLD\_CBT\_DL
exp_V_L_MLD_CBT_DL__default exp\_V\_L\_MLD\_CBT\_DL
Maple_CM+dist+sattime2s+-__default MapleCM+dist+sat2s
ParaFROST__default ParaFROST
MapleLCMDistChronoBT-DL-Scavel02__default Scavel02
Maple_mix__default Maple\_Mix
SLIME__default SLIME
PauSat__default PauSat
PauSat_noproof__default PauSat\_noproof
