benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/01-integer-programming-20-30-40.cnf.bz2,CaDiCaL-sc2020,default,1732.65,complete,SAT-VERIFIED,0.025571,--
sat/01-integer-programming-20-30-40.cnf.bz2,DurianSat,default,5000.02,timeout (wallclock),UNKNOWN,0.024116,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL,5000.04,timeout (wallclock),UNKNOWN,0.019313,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Exp,5000.05,timeout (cpu),UNKNOWN,0.0139549,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Lin,5000.02,timeout (wallclock),UNKNOWN,0.0224479,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,ExMapleLCMDistChronoBT,PSIDS_DL,5000.02,timeout (wallclock),UNKNOWN,0.022049,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Kissat-sc2020-default,default,2455.28,complete,SAT-VERIFIED,0.025929,--
sat/01-integer-programming-20-30-40.cnf.bz2,Kissat-sc2020-sat,default,1446.7,complete,SAT-VERIFIED,0.0247751,--
sat/01-integer-programming-20-30-40.cnf.bz2,Kissat-sc2020-unsat,default,3882.07,complete,SAT-VERIFIED,0.0192641,--
sat/01-integer-programming-20-30-40.cnf.bz2,MLCMDChronoBT-DL-Scavel,default,5000.11,timeout (wallclock),UNKNOWN,0.016006,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Maple-LCM-Dist-alluip-trail,default,5000.02,timeout (wallclock),UNKNOWN,0.0164121,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,LRB_VSIDS_2_init,1156.87,complete,SAT-VERIFIED,0.0247189,--
sat/01-integer-programming-20-30-40.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2,default_drup,5000.09,timeout (wallclock),UNKNOWN,0.0218719,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel01,default,5000.02,timeout (wallclock),UNKNOWN,0.0220099,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,MapleLCMDistChronoBT-DL-Scavel02,default,5000.02,timeout (wallclock),UNKNOWN,0.0185891,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,MapleLCMDistChronoBT-DL-f2trc,default,1792.32,complete,SAT-VERIFIED,0.0235529,--
sat/01-integer-programming-20-30-40.cnf.bz2,MapleLCMDistChronoBT-DL-v3,default,5000.07,timeout (wallclock),UNKNOWN,0.0181919,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,MapleLCMDistChronoBT-f2trc,default,2714.89,complete,SAT-VERIFIED,0.025705,--
sat/01-integer-programming-20-30-40.cnf.bz2,MapleLCMDistChronoBT-f2trc-s,default,4584.79,complete,SAT-VERIFIED,0.038534,--
sat/01-integer-programming-20-30-40.cnf.bz2,Maple_CM+dist,default,5000.03,timeout (wallclock),UNKNOWN,0.021063,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Maple_CM+dist+sattime2s+-,default,5000.02,timeout (wallclock),UNKNOWN,0.02124,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Maple_CM+dist+simp2--,default,4999.97,timeout (cpu),UNKNOWN,0.021335,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Maple_CMused+dist,default,5000.07,timeout (wallclock),UNKNOWN,0.0221861,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Maple_mix,default,5000.07,timeout (wallclock),UNKNOWN,0.0187501,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Maple_simp,default,5000.05,timeout (wallclock),UNKNOWN,0.0279351,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,ParaFROST,default,5000.08,timeout (wallclock),UNKNOWN,0.0215601,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,ParaFROST_CBT,default,5000.02,timeout (wallclock),UNKNOWN,0.0204309,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,PauSat,default,5000.07,timeout (wallclock),UNKNOWN,0.0198789,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,PauSat_noproof,default,5000.02,timeout (wallclock),UNKNOWN,0.0247859,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Relaxed_LCMDCBDL,default,5000.05,timeout (wallclock),UNKNOWN,0.016205,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Relaxed_LCMDCBDL_newTech,default,5000.03,timeout (wallclock),UNKNOWN,0.021839,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,SLIME,default,4750.64,complete,SAT-VERIFIED,0.016913,--
sat/01-integer-programming-20-30-40.cnf.bz2,Top16-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.06,timeout (wallclock),UNKNOWN,0.023663,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Top24-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.04,timeout (wallclock),UNKNOWN,0.0210561,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Top36-Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.03,timeout (wallclock),UNKNOWN,0.021306,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.02,timeout (wallclock),UNKNOWN,0.013214,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,cadical-alluip,default,2210.74,complete,SAT-VERIFIED,0.01713,--
sat/01-integer-programming-20-30-40.cnf.bz2,cadical-alluip-trail,default,2215.07,complete,SAT-VERIFIED,0.017191,--
