hash author family filename
0151bedac526ee195bc52e4134cd80e7 paxian cryptography ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf.xz
0241f35c5752768d2b0580533d143a14 newman station-repacking 53-131587.cnf.xz
024af9416f8c1dad1b4f974757e38d51 unknown unknown 8-5-6.cnf.xz
02627689047d06fbb642eef14768d751 chowdhury cellular-automata ps_200_300_70.cnf.xz
02c6fe8483e4f4474b7ac9731772535d hartung core-based-generator ncc_none_7047_6_3_3_0_0_420.cnf.xz
02f2343e32f9070f149708d77556b4aa schidler hypertree-decomposition Kakuro-easy-117-ext.xml.hg_5.cnf.xz
031757c0a6797eddf3e84bcefbbdb753 holten edge-matching b2005-p2-14x14c17h9-Ser4-0.cnf.xz
03fb9af7b390fe9e0739150ca3410cf0 oostema coloring 4g_5color_166_100_02.cnf.xz
04157f716c1e9606c6a530657bf8f957 schidler hypertree-decomposition Kakuro-easy-125-ext.xml.hg_4.cnf.xz
042846b7b23a617ad1730e9eb2dbdceb unknown scheduling ctl_4291_567_9_unsat_pre.cnf.xz
04557a22f623dcbae86173fced057c99 hickey baseball-lineup baseballcover14with25.cnf.xz
049072033960eab882a3b0933d414f36 unknown bioinformatics rbcl_xits_08_UNSAT.cnf.xz
06872e73223dc74c76b06f37a185dc22 unknown waerden-numbers VanDerWaerden_2-3-16_238.cnf.xz
08abbb56b2345b2da7af8866a4e8ad44 savicky tensors size_4_5_5_i037_w31_r9.cnf.xz
08e151e72fe10402a49463171aa557e8 biere antibandwidth abw-V-nos6.mtx-w220.cnf.xz
0900255c001ced2b14a6cadc0403967e unknown unknown mrpp_8x8#24_14.cnf.xz
0928111a3d5d5ce05dffb83cb5982eba gacek cover Steiner-9-5-bce.cnf.xz
09f4f1e3047315b5ef2690fffb7ccf7a paxian cryptography ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1564286498.cnf.xz
0a11a3dcc342fba24aeda274ad56d478 unknown unknown crafted_n11_d6_c4_num19.cnf.xz
0ae917c2e0c1d39cbe411c29b2f5ff08 jingchao discrete-logarithm dislog_a14_x14_n24.cnf.xz
0b1041a1e55af6f3d2c63462a7400bd2 riveros fermat fermat-907547022132073.cnf.xz
0b348eb6b61e4f0026437fda402c9b62 bouvier vlsat vlsat2_16676_1598591.dimacs.cnf.xz
0d7f17f04ed073a8ea39e72783186cdb newman station-repacking 49-132779.cnf.xz
0f46a676eab0d62b0b59356cb39e22ae shaw cryptography grain-55-80-0s0-seed-125-45-init-40.cnf.xz
0f4911e1180b80b45e9db7ec5e73eb66 unknown knights-problem hcp_CP16_16.cnf.xz
0f8d82f07dc5353a4f6e0c699abb8c52 holten edge-matching b2005-p3-14x14c17h9-Ser6-0.cnf.xz
0ff0fc8ef80d32742d38231869d5d244 newman station-repacking 59-131147.cnf.xz
100193c6b2ba32b40859f2bb99ec269c biere antibandwidth abw-K-dwt__234.mtx-w51.cnf.xz
102ddb414ef5a0f8cf06f168df8f271a djamegni timetable Timetable_C_151_E_34_Cl_10_S_4.cnf.xz
11f7856b53db9263e48e81a61b0573fd johnson stedman-triples sted5_0x0-157.cnf.xz
12bb20e3ad925897977f85af71db7c94 soos cryptography combined-crypto1-wff-seed-121-wffvars-500-cryptocplx-31-overlap-2.cnf.xz
12d79233413fe38d99a604487d2c3515 guanfeng hgen 170058143.cnf.xz
1364901fb87afe648b513e945ddeed91 unknown unknown b1904P3-8x8c11h0SAT.cnf.xz
1401185fe7e0a5f1139ff4755d65a089 unknown unknown size_4_4_4_i4096_r8.cnf.xz
1446548d272c0b28fb40225c50d743a5 savicky tensors size_5_5_5_i041_r12.cnf.xz
14970e78625100605d22c9916dd0a476 holten edge-matching b2005-p5-14x14c17h9-Ser3-0.cnf.xz
15300be1a87777f0110722557a86bf7a guanfeng hgen 170055892.cnf.xz
16b9e9e007133b818ec1f0868613d534 nejati lam-discrete-geometry w19-8.0.cnf.xz
16d83e40878ebec355597e0edb0e0c72 nejati lam-discrete-geometry w19-5.1.cnf.xz
172ecb98a80b859e62612ff192a53729 unknown clique-width Kittell-k7.cnf.xz
17b54dc4971c1a5f907b5b9de801c1c6 unknown hardware-verification velev-dlx-uns-1.0-05.cnf.xz
180e6d8b61fe6bab26126b78591e324e hickey baseball-lineup baseballcover11with22_and2positions.cnf.xz
1a3400dc32a3859afb20566a4ded9606 anbulagan diagnosis ACG-15-10p1.cnf.xz,g2-ACG-15-10p1.cnf.xz
1aa8a801f9c01f07c52e19d7a005233d hartung core-based-generator ncc_none_12477_5_3_3_0_0_435991723.cnf.xz
1b14628a6605fc607c6d99d3d783251a yolcu termination full-bf-ga-7-ce.cnf.xz
1bb9fe12b4fb50e98903ee87a51d6472 goldberg hardware-cec goldb-heqc-k2mul.cnf.xz
1c1d04b20da61c0bc2328cdca8b8aa3a djamegni timetable Timetable_C_241_E_45_Cl_16_S_14.cnf.xz
1c3ead67cae5d59d980d770049594c12 unknown unknown fsf-300-354-2-2-3-2.23.opt.cnf.xz
1e35d939af7897ca53f87757754adec9 unknown unknown SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf.xz
1e8af331b822f6b7bc1754be9d64499f schidler hypertree-decomposition Kakuro-easy-065-ext.xml.hg_3.cnf.xz
1f1ab0fd7da480fb9736da2b3e985fb8 heule tournament TT7F-33-26.cnf.xz
1f413718bf393d43d31a1e498fc4d123 unknown unknown SocialGolfers-6-6-6-cp_c18.cnf.xz
2115182958f6cfb5a172a24f989b86dd unknown rooks rook-42-0-1.cnf.xz
21a16f532f37b506ba9b59952a40a2b6 schidler hypertree-decomposition Kakuro-easy-120-ext.xml.hg_6.cnf.xz
21fc09c6badfc60aaa85cae664023cc6 bouvier vlsat vlsat2_30195_3855554.dimacs.cnf.xz
23ddc17bdbd97b96fcc0393f51bcfe13 preiner bitvector 22930-0601-11.smt2.cnf.xz
245e9b5cdf197b523d57f35ac2fcb303 unknown generator sgen4-unsat-89-1.cnf.xz
24ea04bb401629158b0972463c61eed4 guanfeng hgen 170104584.cnf.xz
268786234185b8a93051bee4efaad466 unknown generator rbsat-v2640c305320g4.cnf.xz
276fe9730ff09cafd8c59f44c9c61b4d yolcu termination full-bf-ga-9-ce.cnf.xz
27f890d3aa346aaa55a31b63ebd4952c unknown software-verification sv-comp19_prop-reachsafety.newton_2_2_true-unreach-call_true-termination.i-witness.cnf.xz
29be431e9dee1550957c8483be4532e4 oostema coloring 6g_5color_170_030_04.cnf.xz
2a15a30186afdad41a49c5c5366d01be djamegni timetable Timetable_C_392_E_62_Cl_26_S_28.cnf.xz
2a3365659589da4f9812e5d96d3935b0 bouvier vlsat vlsat2_35929_5082743.dimacs.cnf.xz
2a6bfb04f247a0790162269a5c8ec071 guanfeng hgen 170059081.cnf.xz
2aab943d5ee5d7b3888f1ca30a453c4f unknown unknown logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf.xz
2b5f3caa6d84857f4919513df087bbdf preiner bitvector bv-term-small-rw_1220.smt2.cnf.xz
2c216cf84cc3a61aaa6d7e6afaeaf5af nejati lam-discrete-geometry w19-20.1.cnf.xz
2c5452e8b90e57f4e0900438ff749f20 chowdhury cellular-automata ps_300_322_20.cnf.xz
2c7e530bd383ed94fd6da30cbe5d146f unknown generator rbsat-v2400c266431gyes7.cnf.xz
2d0c041c0fe72dc32527bfbf34f63e61 guanfeng hgen 170223547.cnf.xz
2dc39ea808c5fffc08d2ab8c48881c80 biere hardware-bmc g2-hwmcc15deep-bobpcihm-k31.cnf.xz
2e0d0b143cff2105aa07d57e30ea5d74 unknown scheduling atco_enc2_opt2_05_9-sc2014.cnf.xz
2e29192bee7f468c3c6e1b7088829575 shaw cryptography preimage_80r_493m_160h_seed_457.cnf.xz
2f998f06e0729ffa9ee5930dd8ba807c heule tournament TT7F-34-24C.cnf.xz
310c8feaba5b17320db0b224bfb9478b chowdhury cellular-automata ps_200_305_70.cnf.xz
31746b8d1bf7628c843592a85a8d95ba oostema coloring 4g_6color_366_060_06.cnf.xz
32076b11a5d315b752dfdc106c861cb1 biere antibandwidth abw-N-bcsstk07.mtx-w35.cnf.xz
3354c5f91c523cfc42dab6a40129d102 savicky tensors size_5_5_5_i003_r12.cnf.xz
3403ba1f14b27a23c95527c490058766 holten edge-matching b2005-p1-12x12c10h7-Ser8-0.cnf.xz
34323d942ba720695022bb1251190a01 newman station-repacking 53-129696.cnf.xz
343885733b441b8dbf2d90886f39c746 preiner bitvector problem_19.smt2.cnf.xz
3454285436b59c94031a9d8831dae833 unknown scheduling atco_enc1_opt2_10_16.cnf.xz
366397b26e0b86f275f5f4b827bde95e nejati lam-discrete-geometry w19-49.0.cnf.xz
38295b28f74d2a62e928c221428faf36 schidler hypertree-decomposition Kakuro-easy-157-ext.xml.hg_4.cnf.xz
3b5f922e28a18ed17be03f0fd3923ce8 unknown generator bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf.xz
3c0e26a50e17f2aee72383f5dfe81ee4 savicky tensors size_5_5_5_i131_r12.cnf.xz
3c1252e11adea78ca57afd0f9ed8f8fe bouvier vlsat vlsat2_34161_4607712.dimacs.cnf.xz
3d0b118834cdf8e692a47ac623778b1d soos cryptography combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf.xz
3d38ffe08887da6cbe9b17ce50c4b34c manthey cnf-miter 3bitadd_32.cnf.gz.CP3-cnfmiter.cnf.xz
3e29b1449c9b29120ffac84634f6e5f5 preiner bitvector 22930-0426-195.smt2.cnf.xz
3e912cd2a499b8f956246b866e2f9f64 shaw cryptography grain-53-80-0s0-seed-125-4-init-35.cnf.xz
3e9ce48792c9a6e1727393f09c28fad3 nejati lam-discrete-geometry w16-6a.cnf.xz
3f266eb6ee4251b947c582f7c6a59d67 preiner bitvector problem_23.smt2.cnf.xz
3f4946b0d78b8b112b8e7737ae6db0f1 soos cryptography combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf.xz
3f9985018dd0c9655cdb7063258d0279 oostema coloring 6g_5color_170_020_04.cnf.xz
3fac9d4ad62698423574608cd2c44795 unknown unknown course0.2_2018_3-sc2018.cnf.xz
3fd8869c1a5a7b8e4889a530e1ed2ea7 manthey cnf-miter ls16-normalized.cnf.gz.CP3-cnfmiter.cnf.xz
4165a3f519e2381da2f25f43cd325d3f unknown unknown f6bidw.cnf.xz
417807e4c1f2829471bcd8981304b2d6 biere antibandwidth abw-K-dwt__234.mtx-w54.cnf.xz
43617e47d7f29ff77cc9917919cff6f5 oostema coloring 6g_5color_166_100_01.cnf.xz
441ea208de1be6e32e97415c9da9241b heule tournament TT7F-34-25.cnf.xz
446faa6735e7611dddf64e64162d0156 chen puzzle-rubikcube mp1-rubikcube312.cnf.xz
45a09efb026036ff4b8d19024a7563a9 riveros fermat fermat-931960058139995587.cnf.xz
47b7849bdc0eefee88c791a9ced970af savicky tensors size_4_5_5_i032_w31_r9.cnf.xz
4a00f482957850eed1b7ac2ec53d43ea jingchao discrete-logarithm dislog_a12_x12_n22.cnf.xz
4a06483dc891f16c60ee8095e982b455 biere hardware-bmc g2-hwmcc15deep-6s516r-k17.cnf.xz
4a3bee9d892a695c3d63191f4d1fbdff unknown unknown tseitingrid7x185_shuffled.cnf.xz
4afd946cbaa6f41aa61dda47347dc973 guanfeng hgen 170222843.cnf.xz
4dd165fbd1678001e130c89cfa2969a2 unknown unknown beempgsol5b1.cnf.xz
4dfe7816c2c198f8fd0b328d1e9672c9 unknown unknown crafted_n10_d6_c3_num18.cnf.xz
4e6ed02919858555623b578af7bb9ce5 gacek cover Steiner-135-33-bce.cnf.xz
4ea29c4f64c7d368f2cb7d4319a8ce1e maoluo polynomial-multiplication newpol6-6.cnf.xz
4f888358cd62fe7bc602ea6882cdfc6d unknown generator bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf.xz
514f36038ad462677ca722a1d55cac13 shaw cryptography preimage_80r_493m_160h_seed_249.cnf.xz
529368029977c0f315a703cce818eb55 unknown polynomial-multiplication Nb51T6-sc2018.cnf.xz
533017e0f42d8246c7ae140313a84161 hickey baseball-lineup baseballcover12with25_and5positions.cnf.xz
53463611103e9b4523eef1d9b5b0f105 kochemazov influence-maximization DLTM_twitter405_71_12.cnf.xz
53a7ac1b3073205e8525b2379ab77554 yolcu termination full-bg-gb-6-ce.cnf.xz
53ffd199202cc7280149f6dda10dc670 kochemazov influence-maximization DLTM_twitter845_79_18.cnf.xz
552b8976b37b0d8b58bc8edad91c5695 biere antibandwidth abw-O-impcol_d.mtx-w101.cnf.xz
5553fec254b32349e0e48c7ee1e2d6c7 unknown software-verification post-cbmc-aes-ee-r2.cnf.xz
562c4f75b56aa462a9e77c787b9bdeca unknown waerden-numbers VanDerWaerden_2-3-32_1006.cnf.xz
5690b9b0380aa9508699e56cae5918b5 guanfeng hgen 170058440.cnf.xz
5880595d26c032ea3f58c8bfacf19754 unknown generator rbsat-v2400c266431gyes6.cnf.xz
592078a0b65e96c18e866d4a96d81bab hartung core-based-generator ncc_none_5047_6_3_3_3_0_435991723.cnf.xz
5a0120a44efe84c0cb4e58cebc3c4982 wynn cardinality-constraints mp1-squ_any_s09x07_c27_bail_UNS.cnf.xz
5a0b7708bd8eb4c1d26ea32e56bf47cf unknown grandtour-puzzle gto_p60c241.cnf.xz
5a5fb82a3672ee898465aa8f1103147f gacek cover Steiner-15-7-bce.cnf.xz
5d357f1e4b5abc96c90d305f629edd5c chowdhury cellular-automata ps_200_323_70.cnf.xz
5d3f7a547ff9818a05747963c1930f71 hickey baseball-lineup baseballcover15with25.cnf.xz
5d65c8ec63b606c54ed75f0f3e0529e6 chowdhury cellular-automata ps_200_317_70.cnf.xz
5d7d18cfa2b71bbf56c11f2fdfbd6873 heule tournament TT7F-34-27.cnf.xz
5dea66a04fbaecf10dce69fa9c0e3665 shaw cryptography grain-53-80-0s0-seed-125-8-init-35.cnf.xz
5fea03f266f60a417e85af49a5d769e5 yolcu termination full-bg-gb-8-ce.cnf.xz
602a8ce027e4e0fb19f782c576516bb7 savicky tensors size_5_5_5_i053_r12.cnf.xz
60522b751c6ec8f1f02e0c95ae60b721 hartung core-based-generator ncc_none_2_18_9_3_0_0_435991723.cnf.xz
6088fba41b1711d09d7ea147870434d0 preiner bitvector iffyInterleavedModMult-8.smt2.cnf.xz
60e9b195b9e92db3cfe16916d53757c0 heule tournament TT7F-33-24D.cnf.xz
6147e666b75f603a4c4490d21ab654cd unknown hidoku hid-uns-enc-6-1-0-0-0-0-14492.cnf.xz
615c30ee68ba7f9007a4511f7e8ab939 hickey baseball-lineup baseballcover13with25.cnf.xz
6392cea0e1c5c95773c79cd143e2a934 maoluo polynomial-multiplication newpol34-4.cnf.xz
63acdb1e4c4437b22b7ee3b405c1d096 oostema coloring 4g_5color_170_050_05.cnf.xz
651ba27349b792ee6abdf5ab8e7a14a0 johnson stedman-triples sted1_0x0-649.cnf.xz
673c1a0da2eb39474b2f50569f49e303 kochemazov influence-maximization DLTM_twitter799_70_12.cnf.xz
681b6efef89c7fbb930b76ea0ab917de soos cryptography combined-crypto1-wff-seed-3-wffvars-450-cryptocplx-40-overlap-2.cnf.xz
687d3ac645f05ea381091ab1536bd24a unknown unknown tseitingrid7x165_shuffled.cnf.xz
